date,dads,moms
5/29/15,432100,735400
5/30/15,419900,661900
5/31/15,410900,688400
6/1/15,421100,805400
6/2/15,421900,781400
6/3/15,427600,718800
6/4/15,418800,723800
6/5/15,452200,833500
6/6/15,336000,654200
6/7/15,356100,770200
6/8/15,431700,802100
6/9/15,418400,827000
6/10/15,438500,915100
6/11/15,460300,834900
6/12/15,440300,848900
6/13/15,360400,742300
6/14/15,365500,749700
6/15/15,518200,945700
6/16/15,497500,881100
6/17/15,506900,870000
6/18/15,492800,962100
6/19/15,453600,869000
6/20/15,360000,757900
6/21/15,361000,722900
6/22/15,409200,796800
6/23/15,465700,830000
6/24/15,463100,878400
6/25/15,505600,948300
6/26/15,534500,1046300
6/27/15,439300,740900
6/28/15,422800,735800
6/29/15,504700,1039900
6/30/15,461000,905900
7/1/15,487200,971500
7/2/15,465000,862400
7/3/15,422100,727100
7/4/15,392900,660400
7/5/15,397600,581600
7/6/15,431000,745600
7/7/15,463100,815700
7/8/15,486700,819700
7/9/15,464300,823400
7/10/15,516100,858600
7/11/15,419300,704200
7/12/15,430000,650500
7/13/15,469700,826300
7/14/15,484600,849200
7/15/15,530600,834200
7/16/15,541500,859800
7/17/15,524800,858500
7/18/15,462600,734800
7/19/15,413200,753700
7/20/15,448100,822200
7/21/15,492300,901900
7/22/15,522600,912000
7/23/15,468000,907300
7/24/15,519300,806500
7/25/15,479400,741500
7/26/15,398500,741800
7/27/15,528300,884200
7/28/15,490800,885500
7/29/15,484000,929600
7/30/15,509700,847200
7/31/15,558000,874400
8/1/15,448000,743100
8/2/15,457800,674500
8/3/15,475100,825800
8/4/15,561300,895800
8/5/15,456700,929000
8/6/15,531500,901600
8/7/15,525900,985200
8/8/15,393800,802900
8/9/15,399300,831300
8/10/15,533600,932900
8/11/15,556700,1019600
8/12/15,520200,963100
8/13/15,477800,863500
8/14/15,482000,856700
8/15/15,394000,751700
8/16/15,398400,825500
8/17/15,399200,904300
8/18/15,470200,905800
8/19/15,468500,899000
8/20/15,484000,1022300
8/21/15,479000,908000
8/22/15,360600,849300
8/23/15,444400,835100
8/24/15,497300,933000
8/25/15,439400,916100
8/26/15,485400,999500
8/27/15,432500,873100
8/28/15,455700,832700
8/29/15,452700,769500
8/30/15,521000,1300200
8/31/15,621600,1069400
9/1/15,502800,902400
9/2/15,501000,841200
9/3/15,480600,844200
9/4/15,455600,886000
9/5/15,383000,806400
9/6/15,407800,793900
9/7/15,396000,1050800
9/8/15,473400,902500
9/9/15,426700,925300
9/10/15,463900,868300
9/11/15,529000,908800
9/12/15,364100,742600
9/13/15,411100,811800
9/14/15,403500,769600
9/15/15,465200,866100
9/16/15,422500,930800
9/17/15,518800,970800
9/18/15,498000,848000
9/19/15,392800,724900
9/20/15,413700,825200
9/21/15,439900,858400
9/22/15,449700,847100
9/23/15,448600,933700
9/24/15,447000,933500
9/25/15,429200,841100
9/26/15,365100,727600
9/27/15,457700,807000
9/28/15,410400,855600
9/29/15,454600,869200
9/30/15,417400,870000
10/1/15,410400,872000
10/2/15,431600,851100
10/3/15,373400,814100
10/4/15,431700,843600
10/5/15,420800,805100
10/6/15,434200,835000
10/7/15,385500,835800
10/8/15,420100,867100
10/9/15,428100,810900
